Rank,Firm Name,Website,Decision Maker(s),Title(s),Priority,Confidence,Core Services
1,Western Environmental,https://www.westernenv.com.au,James Gibson | Philip Brand | Peter McColl | David Reynolds,Director | Director | Director | Director,MEDIUM,0.95,Environmental advisory; Energy efficiency; Renewable energy consulting; Sustainability assessment
2,Preston Consulting,https://www.prestonconsulting.com.au,Phil Scott | Catherine Pinchin,Founding Director | Founding Director,HIGH,0.92,Energy efficiency audits; Renewable energy strategy; Carbon reduction planning; Building performance
3,ReGen Strategic,https://www.regenerstrategic.com.au,Anthony Fisk,Director,HIGH,0.90,Renewable energy advisory; Energy strategy; Sustainability consulting; Project development
4,Perspektiv,https://www.perspektiv.com.au,Patrick Ilott,Founder & CEO,HIGH,0.90,Energy efficiency; Renewable energy consulting; Sustainability strategy; Building systems optimization; Net-zero planning
5,Entego Group Pty Ltd,https://www.entego.com.au,Harry Street | William Street,Director | Director,MEDIUM,0.90,Energy advisory; Renewable energy strategy; Energy management; Sustainability consulting
6,Futureproof Consulting,https://www.futureproofconsulting.com.au,Ben Swan,Founder & Director,HIGH,0.85,Energy efficiency consulting; Renewable energy planning; Sustainability strategy; Building performance; Net-zero advisory
7,AllScope Energy Consultants,https://www.allscopeenergy.com.au,Andrew Somoff,Managing Director,HIGH,0.85,Energy auditing; Renewable energy consulting; Energy efficiency; Carbon reduction; Building systems
8,WestSun Energy,https://www.westsun.com.au,Ben Emery,Director,MEDIUM,0.85,Solar energy consulting; Renewable energy advice; Energy efficiency; Sustainability planning
9,Galetech Group,https://www.galetech.com.au,Dermot Costello,Director,MEDIUM,0.82,Energy consulting; Renewable energy advisory; Sustainability strategy; Building performance
10,Constructive Building Consultants,https://www.constructivebc.com.au,Lyndon Barker,Director,MEDIUM,0.82,Building performance; Energy efficiency; Sustainability consulting; Environmental compliance
11,Ecorate WA,https://www.ecorate.com.au,Don Fleming,Director,MEDIUM,0.85,Environmental rating; Energy efficiency; Sustainability assessment; Building rating advisory
12,WA Power & Gas Consulting,https://www.wapowergasconsulting.com.au,Shean Bond,Principal Consultant,MEDIUM,0.80,Energy consulting; Power market advisory; Gas industry expertise; Energy strategy
