Firm Name,Website URL,Location,Services,Leaders Found,Site Status
Constructive Building Consultants,https://www.constructivebc.com.au/energy-efficiency-perth/,"Perth, WA (Gnangara)","Energy efficiency assessments, Section J Energy Reports, NatHERs ratings, compliance reporting",None listed,ACTIVE
Western Environmental,https://www.westenv.com.au/,"Perth, WA (multi-state)","Environmental auditing, contaminated land management, PFAS remediation, sustainability, asbestos/hazmat, ecology, permits/compliance","James Gibson (Managing Director), Philip Brand (Principal Scientist), Peter McColl (Principal Scientist), David Reynolds (Senior Principal)",ACTIVE
Preston Consulting Pty Ltd,https://prestonconsulting.com.au/,"Perth, WA (Adelaide Terrace)","Environmental approvals, strategic project management, mine closure, renewable energy consulting, greenhouse gas management, Indigenous engagement, auditing/compliance",None listed,ACTIVE
ecologia Environment,https://ecologia.com.au/,"Osborne Park, WA (Perth region)","Environmental assessment, biological sciences, risk assessment, project planning, environmental approvals, compliance",None listed,ACTIVE
WestSun Energy,https://westsunenergy.com.au/capability-statement/,"Perth, WA (Wangara)","Commercial solar (10KW-1MW+), solar EPC, energy consulting, feasibility studies, battery storage, EV chargers, solar farms, maintenance/repairs",None listed,ACTIVE
MySolar Advisory,https://mysolaradvisory.com.au/,"Perth & WA","Solar audits/assessments, solar feasibility studies, EV/battery design, solar system sizing, government rebate guidance, ROI analysis","Chris (0427328555), Kam (0430595926)",ACTIVE
Energise Renewables,https://energise-renewables.com/,"Perth, WA (Esplanade)","Offshore/onshore wind, battery storage, carbon capture, power-to-x, solar, wave energy, clean energy consulting",None listed,ACTIVE
Galetech Group,https://www.galetechgroup.com/galetech-australia,"Perth, WA (Leederville) + multi-country","Wind, solar, storage projects, support services, construction, O&M, asset management, inspection, civils work",Not listed on contact page,ACTIVE
Arche Energy,https://archeenergy.com.au/,"Brisbane, QLD (NOT Perth)","Renewable power generation, REZ advisory, energy storage, gas turbine engineering, hydrogen/clean fuels, due diligence, project management, GIS/data analytics",Not listed on homepage,ACTIVE
RINA Australia,https://www.rina.org/en/australia,"Sydney & Melbourne (NOT Perth)","Solar, wind, battery storage, hydrogen, yield assessments, performance monitoring, design review, construction management, project advisory","Donny Richmond (Managing Director/Head Renewables APAC), Carlos Rodríguez (Head of Yield & Performance), Doug Golding (Principal Consultant), Jim McSparron (Principal Consultant), Tony Slinko (Electrical Principal)",ACTIVE
